,company_name,job_title,experience,salary,location,desc,skills
2818,Abzooba India Infotech Private Limited,Opening For Data Scientist Role !! PUNE!!,3-6 Yrs,Not disclosed,Pune(Baner)," Hands-on experience with machine learning and deep learning algorithms such as SVM, kNN...","Operational Excellence ,Pyspark ,CNN ,Natural Language Processing ,Tenserflow ,Neural Networks ,Architectural Design ,KNN ,"
2819,Abzooba India Infotech Private Limited,Opening For Data Scientist Role !! PUNE!!,3-6 Yrs,Not disclosed,Pune(Baner)," Hands-on experience with machine learning and deep learning algorithms such as SVM, kNN...","Operational Excellence ,Pyspark ,CNN ,Natural Language Processing ,Tenserflow ,Neural Networks ,Architectural Design ,KNN ,"
2820,CAIA-Center For Artificial Intelligence & Advanced Analytics,Immediate opening For Data Scientist/Data Analyst,0-3 Yrs,"3,50,000 - 4,50,000 PA.","Chennai, Pune, Bengaluru, Hyderabad", In case you are trying to shift your career to Analytics and / or AI domain please do c...,"Business Intelligence ,Artificial Intelligence ,Natural Language Processing ,Neural Networks ,Data Mining ,Machine Learning ,Deep Learning ,SQL ,"
2821,A Big Digital Group,NLP Engineer/ Data Scientist/ Data science,5-7 Yrs,"12,00,000 - 22,00,000 PA.",Mumbai, 5+ years of overall experience with minimum 1 year in the field of Natural Language Pro...,"Natural Language Processing ,Machine Learning ,Deep Learning ,Data Science ,NLP ,Algorithms ,Data Structures ,Classification ,"
2822,bebo Technologies Pvt. Ltd.,Senior Software Engineer- Data Scientist- Chandigarh,5-10 Yrs,Not disclosed,Chandigarh, 5 years of experience in Machine learning/ Data Science/ NLP and delivering scalable co...,"deep learning ,algorithms ,panda ,python ,nlp ,natural language processing ,data science ,Artificial Intelligence ,"
2823,Shell India Markets Private Limited,AI Resident - Data Scientist - NLP,3-5 Yrs,Not disclosed,Bengaluru," Preferably expertise Deep Learning, Bayesian Learning Experience of developing advanced...","Data Science ,Bayesian Learning ,R ,NLP ,Artificial Intelligence ,Natural Language Processing ,Machine Learning ,MATLAB ,"
2824,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,Senior Data Scientist (9+ years),9-14 Yrs,"22,50,000 - 25,00,000 PA.","Pune, Mumbai", Data Science job opportunity in Mumbai/Pune with a fortune 500 firm with at least 5 yea...,"Data Science ,R ,NLP ,Natural Language Processing ,Neural Networks ,Statistical Modeling ,Machine Learning ,Deep Learning ,"
2825,AlgoAnalytics Private Ltd.,Senior Data Scientist,3-8 Yrs,Not disclosed,Pune(Baner), Bachelors / Masters in Engineering / Mathematics/Statistics with sound knowledge of pro...,"Data Science ,Project Management ,Artificial Intelligence ,Natural Language Processing ,Computer Vision ,Machine Learning ,Deep Learning ,"
2826,ACHYUTAS SOFT PRIVATE LIMITED ,Fresher  Data Engineer / Data Scientist / Data Analyst Requirements,0-2 Yrs,"3,50,000 - 8,50,000 PA.","Delhi NCR, Bengaluru, Hyderabad", Building and iterating reports (with eventual design collaboration) based around a larg...,"Data Science ,Tensorflow ,Deeplearning ,Data Analysis ,Machine Learning ,Python ,SQL ,"
2827,ELLIE MAE INDIA PRIVATE LIMITED,Senior Data Scientist,7-9 Yrs,Not disclosed,Pune," Experience with common data science toolkits, such as Sklearn, NumPy and MLib PhD degre...","Pytorch ,Tensorflow ,Data Science ,NLP ,Image Processing ,Neural Networks ,Python programming ,Computer Vision ,"
